feature,coefficient,abs_coefficient
X153,-0.06593235256486879,0.06593235256486879
X159,0.053230397768469224,0.053230397768469224
X131,-0.05093021537472207,0.05093021537472207
X182,-0.04713601268068489,0.04713601268068489
X171,0.04677155177408155,0.04677155177408155
X160,-0.04466579398088009,0.04466579398088009
X216,0.04427146449709219,0.04427146449709219
X152,-0.04288414680698634,0.04288414680698634
X120,-0.03898368162417344,0.03898368162417344
X270,-0.037725071754142574,0.037725071754142574
X226,-0.036105065226356974,0.036105065226356974
X234,-0.03544204194868475,0.03544204194868475
X319,-0.03477534752987804,0.03477534752987804
X264,0.033292284933734394,0.033292284933734394
X158,0.033013636588737606,0.033013636588737606
X94,0.0324928212999074,0.0324928212999074
X318,0.031589316944150014,0.031589316944150014
X113,0.03157243071899779,0.03157243071899779
X130,0.030897408468832224,0.030897408468832224
X268,-0.030372541951430694,0.030372541951430694
X256,-0.02683950508339928,0.02683950508339928
X163,-0.026617753966363417,0.026617753966363417
X143,0.026533743125088435,0.026533743125088435
X112,-0.0260144836367698,0.0260144836367698
X325,0.025197496360165824,0.025197496360165824
X173,-0.02439275045688357,0.02439275045688357
X196,-0.024186771878867412,0.024186771878867412
X229,-0.02401221804268553,0.02401221804268553
X116,0.023755801631135196,0.023755801631135196
X126,-0.023111524510854183,0.023111524510854183
X154,0.02113689289869235,0.02113689289869235
X169,-0.020519879925671575,0.020519879925671575
X190,0.019829273421695562,0.019829273421695562
X99,0.019438493344043045,0.019438493344043045
X58,0.0189327050798356,0.0189327050798356
X212,0.0186403504641253,0.0186403504641253
X263,0.01859045089171453,0.01859045089171453
X206,-0.018550472719569625,0.018550472719569625
X213,0.01813739098395573,0.01813739098395573
X329,0.01794030869284963,0.01794030869284963
X150,-0.017477439739759053,0.017477439739759053
X177,0.017405768957253206,0.017405768957253206
X149,-0.016732346778307126,0.016732346778307126
X23,0.016411115636985055,0.016411115636985055
X331,-0.016122570975724806,0.016122570975724806
X111,-0.01610180258368884,0.01610180258368884
X225,0.016090674841708615,0.016090674841708615
X220,0.016069886253034297,0.016069886253034297
X236,-0.016034122650196027,0.016034122650196027
X251,-0.01601606052422574,0.01601606052422574
X175,-0.0158630095700673,0.0158630095700673
X322,0.01566268703480894,0.01566268703480894
X105,0.015555360757895162,0.015555360757895162
X32,0.015387904894984344,0.015387904894984344
X287,-0.015262681186009597,0.015262681186009597
X273,-0.015147028973126631,0.015147028973126631
X127,-0.014748031316196977,0.014748031316196977
X240,-0.014723646727385277,0.014723646727385277
X272,-0.014520636261304622,0.014520636261304622
X87,-0.014232703455400189,0.014232703455400189
X281,0.014045520660515445,0.014045520660515445
X188,0.013898081663815114,0.013898081663815114
X165,0.013800595287222899,0.013800595287222899
X282,0.013553871743927352,0.013553871743927352
X253,-0.013149848985121285,0.013149848985121285
X248,0.012662954634742951,0.012662954634742951
X52,-0.012402069640229716,0.012402069640229716
X192,-0.011879002254388786,0.011879002254388786
X76,0.011780402477221997,0.011780402477221997
X250,-0.011611892462422415,0.011611892462422415
X299,0.011579952808662485,0.011579952808662485
X43,0.011385155016554795,0.011385155016554795
X291,-0.011073801837813601,0.011073801837813601
X285,-0.010944861598798782,0.010944861598798782
X101,0.010906219397616284,0.010906219397616284
X260,0.010851622132779843,0.010851622132779843
X201,0.010837494793696726,0.010837494793696726
X162,0.010682484008315181,0.010682484008315181
X71,0.010661536858154044,0.010661536858154044
X5,0.01047141778537703,0.01047141778537703
X136,0.01042679385633764,0.01042679385633764
X247,0.010184950474406587,0.010184950474406587
X193,-0.009980069623384191,0.009980069623384191
X245,-0.009871772384557408,0.009871772384557408
X279,0.009641143867160662,0.009641143867160662
X33,0.009398680905924528,0.009398680905924528
X35,-0.00929506852240105,0.00929506852240105
X194,-0.009247629210000228,0.009247629210000228
X104,-0.009145808779879527,0.009145808779879527
X210,-0.009132118736432836,0.009132118736432836
X238,-0.009037936980238647,0.009037936980238647
X311,-0.0088432230538623,0.0088432230538623
X307,-0.008672902034437593,0.008672902034437593
X45,-0.00864756286424721,0.00864756286424721
X121,0.008581152471524701,0.008581152471524701
X109,0.008552059931268492,0.008552059931268492
X197,-0.008520501073098511,0.008520501073098511
X298,0.008497052184271015,0.008497052184271015
X3,0.008483655775759897,0.008483655775759897
X11,-0.008419060295116403,0.008419060295116403
X142,0.008377342841864524,0.008377342841864524
X170,-0.008282528262548517,0.008282528262548517
X151,0.008203256066266406,0.008203256066266406
X166,0.008179285324147896,0.008179285324147896
X308,-0.008126308779668287,0.008126308779668287
X321,-0.007982365779593817,0.007982365779593817
X10,-0.007894405335888316,0.007894405335888316
X29,0.007700683233425355,0.007700683233425355
X255,0.007629018699808966,0.007629018699808966
X92,-0.0076098854759889855,0.0076098854759889855
X276,-0.007503639670542622,0.007503639670542622
X75,0.007387939048692004,0.007387939048692004
X302,0.007345522949432807,0.007345522949432807
X132,0.007325729524611983,0.007325729524611983
X27,-0.007282566387628039,0.007282566387628039
X82,-0.00710883505259697,0.00710883505259697
X74,0.007049217571650933,0.007049217571650933
X233,0.006971486480604053,0.006971486480604053
X189,0.006806261068671089,0.006806261068671089
X306,-0.0067760448348285355,0.0067760448348285355
X135,-0.006551400170950396,0.006551400170950396
X123,0.006481674618957509,0.006481674618957509
