feature,importance_gain
X325,317
X328,282
X242,264
X227,242
X243,226
X324,217
X226,213
X332,202
X131,196
X102,190
X327,175
X256,165
X113,152
X241,151
X207,148
X212,148
X224,145
X240,140
X213,139
X206,139
X234,138
X330,137
X35,135
X166,129
X319,127
X233,127
X225,125
X101,123
X263,120
X15,120
X134,119
X232,119
X274,117
X235,116
X322,116
X75,114
X171,113
X112,111
X160,109
X25,105
X255,103
X262,100
X55,97
X159,95
X177,94
X173,92
X154,89
X321,88
X275,88
X45,86
X165,86
X201,85
X215,85
X228,84
X5,83
X238,82
X120,78
X270,77
X223,76
X130,75
X318,70
X187,70
X194,68
X323,68
X222,67
X56,67
X239,66
X331,64
X184,63
X183,63
X149,61
X133,60
X119,60
X329,60
X299,59
X150,59
X65,58
X216,58
X127,58
X157,58
X290,58
X236,56
X132,55
X217,55
X300,55
X186,54
X317,53
X221,53
X296,53
X326,51
X195,51
X254,50
X182,50
X158,50
X314,50
X176,49
X237,49
X129,49
X175,49
X309,48
X163,47
X316,47
X320,47
X298,47
X277,47
X312,47
X311,47
X310,47
X272,47
X105,46
X295,46
X185,46
X273,46
X24,45
X308,44
X307,44
X294,44
X174,44
X181,44
X231,44
X210,44
X100,44
X219,44
X278,43
X153,43
X229,43
X297,43
X218,42
X247,42
X37,42
X188,42
X126,41
X285,41
X214,41
X44,41
X180,40
X271,40
X276,40
X205,40
X280,39
X211,39
X204,39
X94,39
X111,39
X192,39
X315,39
X190,38
X230,37
X4,36
X245,35
X289,35
X191,35
X281,35
X301,35
X282,35
X283,35
X179,35
X291,34
X124,33
X288,33
X104,32
X261,32
X118,32
X302,32
X178,32
X99,31
X148,31
X117,31
X313,31
X151,31
X305,30
X220,30
X189,30
X110,30
X303,30
X244,29
X208,29
X116,29
X253,29
X292,29
X250,28
X155,28
X64,28
X258,28
X293,28
X260,28
X252,27
X123,27
X284,27
X306,27
X246,27
X286,27
X264,27
X287,27
X172,26
X147,26
X57,26
X146,26
X95,25
X304,25
X164,25
X193,25
X251,24
X249,23
X265,23
X19,22
X145,21
X128,21
X259,20
X140,20
X23,20
X200,19
X268,19
X97,19
X58,19
X103,19
X114,18
X279,18
X43,18
X139,17
X144,17
X196,17
X269,16
X17,16
X122,16
X257,16
X267,16
X85,16
X266,15
X108,15
X125,15
X209,15
X52,15
X49,15
X79,14
X121,14
X115,14
X152,13
X156,13
X161,13
X109,13
X71,13
X73,13
X59,12
X248,12
X202,12
X3,12
X106,12
X93,11
X203,11
X39,10
X53,10
X11,10
X91,9
X162,9
X107,9
X60,9
X86,9
X9,9
X32,8
X63,8
X50,8
X42,8
X2,7
X141,7
X69,7
X77,6
X31,6
X62,6
X48,6
X40,6
X29,6
X98,6
X13,5
X54,5
X38,4
X33,4
X76,4
X51,3
X81,3
X47,3
X84,3
X96,2
X14,2
X22,2
X82,2
X89,2
X170,2
X7,1
X142,1
X143,1
X30,1
X92,1
X21,1
X46,1
X90,1
X36,1
X41,1
X1,0
X199,0
X68,0
X6,0
X8,0
X10,0
X12,0
X16,0
X18,0
X20,0
X26,0
X27,0
X28,0
X34,0
X61,0
X66,0
X67,0
X70,0
X198,0
X72,0
X74,0
X78,0
X80,0
X83,0
X87,0
X88,0
X135,0
X136,0
X137,0
X138,0
X168,0
X169,0
X197,0
X167,0
