alpha,fold_1,fold_2,fold_3,fold_4
1e-05,0.023531665255911473,-0.022693065462853684,0.061015638102078794,-0.353313452028872
5e-05,0.0028454434754568853,-0.014271326392103573,0.05155330739878457,-0.3422697642444389
0.0001,0.02927808115035994,0.0006356583727884779,0.03471045182538197,-0.3310642131003071
0.0005,0.025838438844987512,0.027350809818390776,0.15221637067883104,-0.29736372945253453
0.001,-0.013388973847595173,0.017793288564062176,0.15543950919201166,-0.15356737563115183
0.005,0.06857172485287258,-0.028390923218778306,0.12069188714146334,0.19221896393007082
0.01,0.06362801266885926,-0.061275125781400964,0.13272758988522296,0.12262234070630587
0.05,0.2616932227916678,0.0226953719035234,0.033386162996176603,0.08360720315744685
0.1,0.0,,,
0.5,0.0,,,
1.0,0.0,,,
5.0,0.0,,,
10.0,0.0,,,
