alpha,fold_1,fold_2,fold_3,fold_4
1e-05,-0.027036469706735566,0.1402781941956146,0.17730675977266508,0.18743313174658957
5e-05,-0.025608481194328528,0.14053423552786357,0.17806315045312132,0.19372868968523177
0.0001,-0.02419735148310203,0.14012524999617365,0.17874676869702988,0.19890641687557975
0.0005,-0.017833856217259997,0.13094201570365668,0.1840097717244388,0.22740562073438758
0.001,-0.011831578899841745,0.1133089339974674,0.1878084618472918,0.2442997616194118
0.005,-0.004873060968926736,0.17773306368832859,0.18328688880156263,0.28597642340833884
0.01,0.02376746728613619,0.20067075563722941,0.19815067100952344,0.2604874276274991
0.05,0.0827996222744233,0.169132497488285,0.20477751406698314,0.1766665379209401
0.1,0.0,,,
0.5,0.0,,,
1.0,0.0,,,
5.0,0.0,,,
10.0,0.0,,,
