alpha,ic_mean,ic_std,ic_cv,ic_min,ic_max,ic_range
1e-05,0.23927678977729108,0.01824955646991442,0.07626964774519229,0.21765352122875883,0.26430093835024604,0.046647417121487206
5e-05,0.24152751941114095,0.01831761823927842,0.0758407086858587,0.21805442406207187,0.26624783062981316,0.04819340656774129
0.0001,0.24383508329248688,0.018653490228547277,0.07650043618281091,0.21854863545149766,0.26843485134603107,0.0498862158945334
0.0005,0.25183435155864725,0.019892436174972414,0.0789901617942692,0.2193057364135974,0.2729946450101897,0.05368890859659231
0.001,0.25384697245420323,0.02077802105774797,0.08185254626779744,0.2198560589782094,0.2762822198221898,0.056426160843980416
0.005,0.2517470878898188,0.01637991031145073,0.0650649445391784,0.2250851022199492,0.2682273012647491,0.04314219904479988
0.01,0.2411943880045031,0.01047590417961614,0.04343344912080026,0.22501039994387717,0.2511043486225903,0.02609394867871312
0.05,0.16925062735435495,0.010251824217263915,0.06057185357310362,0.157889904092944,0.18047833114988565,0.02258842705694164
0.1,,,,,,
0.5,,,,,,
1.0,,,,,,
5.0,,,,,,
10.0,,,,,,
