序号,数值,出现次数,占比(%)
1,-1.85237450376,1,0.01
2,-1.7875118433099997,1,0.01
3,-1.7164628374899995,1,0.01
4,-1.63792180541,1,0.01
5,-1.45057937972,11,0.11
6,-1.33566770323,21,0.21
7,-1.19975603696,60,0.6
8,-1.03341360105,198,1.9800000000000002
9,-0.818960902703,621,6.21
10,-0.516706800527,2118,21.18
11,-0.0,3814,38.14
12,0.516706800527,2220,22.2
13,0.818960902703,698,6.98
14,1.03341360105,154,1.54
15,1.19975603696,51,0.51
16,1.33566770323,11,0.11
17,1.45057937972,9,0.09
18,1.55012040158,5,0.05
19,1.63792180541,4,0.04
20,1.7164628374899995,1,0.01
